,lhs,rhs,lift,count rhs,count lhs,count full
0,['Space Sim'],['Space'],17.565508684863524,260,62,58
1,['Roguelike Deckbuilder'],['Roguelike'],11.207529843893479,396,55,50
2,['NSFW'],['Nudity'],10.862783146401728,409,189,172
3,['NSFW'],['Sexual Content'],9.672768208938422,470,189,176
4,['Hentai'],['Sexual Content'],9.507891478104243,470,189,173
5,['Open World Survival Craft'],['Survival'],6.813756847602322,677,127,120
6,['Aliens'],['Sci-fi'],6.756268316509281,664,111,102
7,['CRPG'],['RPG'],2.8753667448328515,1667,110,108
8,['Transportation'],['Simulation'],2.779500385396959,1704,67,65
9,['JRPG'],['RPG'],2.7789087549902156,1667,313,297
10,['4X'],['Strategy'],2.7691435053885423,1763,113,113
11,['Grand Strategy'],['Strategy'],2.7411723588694663,1763,198,196
12,['Party-Based RPG'],['RPG'],2.735942285227165,1667,152,142
13,['RTS'],['Strategy'],2.703385480194619,1763,379,370
14,['Farming Sim'],['Simulation'],2.67241685406557,1704,119,111
15,['Diplomacy'],['Strategy'],2.659835209123205,1763,76,73
16,['Hex Grid'],['Strategy'],2.6432733460526996,1763,66,63
17,['Life Sim'],['Simulation'],2.6275085747646503,1704,193,177
18,['Roguelike Deckbuilder'],['Strategy'],2.618099314185531,1763,55,52
19,['Economy'],['Simulation'],2.602978644223062,1704,328,298
20,['Real Time Tactics'],['Strategy'],2.5635140371666205,1763,202,187
21,['Turn-Based Strategy'],['Strategy'],2.5541871602213955,1763,438,404
22,['Real-Time'],['Strategy'],2.517403186716857,1763,77,70
23,['Online Co-Op'],['Multiplayer'],2.1281541586684543,2149,791,741
24,['Competitive'],['Multiplayer'],2.083364922993111,2149,205,188
25,['Split Screen'],['Multiplayer'],2.080160567818038,2149,83,76
26,['Co-op'],['Multiplayer'],2.0669394001326333,2149,1209,1100
27,"[""Shoot 'Em Up""]",['Action'],2.0117164696752217,2387,61,60
28,['Battle Royale'],['Action'],2.006655547738932,2387,53,52
29,['Third-Person Shooter'],['Action'],1.992577822288469,2387,233,227
30,['Arena Shooter'],['Action'],1.9899681835165706,2387,74,72
31,['Shooter'],['Action'],1.977819415607434,2387,728,704
32,['Fighting'],['Action'],1.9594305987267866,2387,143,137
33,['Looter Shooter'],['Action'],1.9429828236279851,2387,60,57
34,['2D Fighter'],['Action'],1.9266801454739744,2387,69,65
35,['Fast-Paced'],['Action'],1.9184081734719394,2387,129,121
36,['Parkour'],['Action'],1.917417260159196,2387,96,90
37,"[""Beat 'em up""]",['Action'],1.9126828965538643,2387,108,101
38,['Stealth'],['Action'],1.8904257290068882,2387,251,232
39,['Bullet Hell'],['Action'],1.8865622697658293,2387,116,107
40,['Hack and Slash'],['Action'],1.883948147100686,2387,317,292
41,['Action Roguelike'],['Action'],1.8808032622265074,2387,199,183
42,['Top-Down Shooter'],['Action'],1.8768131299440598,2387,85,78
43,['3D Fighter'],['Action'],1.8689308466839054,2387,58,53
44,['Remake'],['Singleplayer'],1.3179905371555802,3593,100,97
45,['Real-Time with Pause'],['Singleplayer'],1.30904265068256,3593,82,79
46,['Cult Classic'],['Singleplayer'],1.287239808399373,3593,57,54
47,['Great Soundtrack'],['Singleplayer'],1.2790104271923701,3593,869,818
48,['Classic'],['Singleplayer'],1.266754221170795,3593,384,358
